
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.23.23.203:65007    150.171.28.11:443      ESTABLISHED     16368
  TCP    172.23.23.203:65013    150.171.27.10:443      ESTABLISHED     16368
  TCP    172.23.23.203:65016    150.171.27.12:443      ESTABLISHED     16368
  TCP    172.23.23.203:65017    18.161.229.94:443      ESTABLISHED     16368
  TCP    172.23.23.203:65018    172.23.17.48:7680      ESTABLISHED     16624
  TCP    172.23.23.203:65024    20.190.146.33:443      ESTABLISHED     24312
  TCP    172.23.23.203:65026    52.104.136.55:443      ESTABLISHED     8332
  TCP    172.23.23.203:65027    20.190.146.33:443      ESTABLISHED     24312
  TCP    172.23.23.203:65028    52.98.57.114:443       ESTABLISHED     16368
  TCP    172.23.23.203:65029    52.98.57.114:443       ESTABLISHED     16368
  TCP    172.23.23.203:65031    23.61.113.216:443      ESTABLISHED     16368
  TCP    172.23.23.203:65034    150.171.28.11:443      ESTABLISHED     16368
  TCP    172.23.23.203:65035    150.171.27.11:443      ESTABLISHED     16368
  TCP    172.23.23.203:65036    150.171.27.11:443      ESTABLISHED     16368
  TCP    172.23.23.203:65037    172.188.155.25:443     ESTABLISHED     16368
  TCP    172.23.23.203:65039    92.223.116.252:80      ESTABLISHED     21516
  TCP    172.23.23.203:65042    20.44.239.154:443      TIME_WAIT       0
  TCP    172.23.23.203:65043    20.190.174.43:443      ESTABLISHED     16368
  TCP    172.23.23.203:65046    216.239.32.223:443     TIME_WAIT       0
  TCP    172.23.23.203:65047    216.239.36.223:443     ESTABLISHED     3664
  TCP    172.23.23.203:65049    172.217.24.129:443     ESTABLISHED     3664
  TCP    172.23.23.203:65061    216.239.32.223:443     TIME_WAIT       0
  TCP    172.23.23.203:65062    216.239.32.223:443     TIME_WAIT       0
  TCP    172.23.23.203:65063    216.239.36.223:443     TIME_WAIT       0
  TCP    172.23.23.203:65066    172.25.84.120:7680     SYN_SENT        16624
  TCP    172.23.23.203:65067    172.25.102.166:7680    SYN_SENT        16624
  TCP    [::]:135               [::]:0                 LISTENING       1052
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3000              [::]:0                 LISTENING       2640
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:5432              [::]:0                 LISTENING       6860
  TCP    [::]:7070              [::]:0                 LISTENING       19732
  TCP    [::]:7680              [::]:0                 LISTENING       16624
  TCP    [::]:49664             [::]:0                 LISTENING       860
  TCP    [::]:49665             [::]:0                 LISTENING       712
  TCP    [::]:49666             [::]:0                 LISTENING       1828
  TCP    [::]:49667             [::]:0                 LISTENING       1916
  TCP    [::]:49668             [::]:0                 LISTENING       4496
  TCP    [::]:49669             [::]:0                 LISTENING       840
  TCP    [::]:49891             [::]:0                 LISTENING       11032
  TCP    [::1]:3000             [::1]:64960            ESTABLISHED     2640
  TCP    [::1]:5432             [::1]:53705            ESTABLISHED     6860
  TCP    [::1]:5432             [::1]:53706            ESTABLISHED     6860
  TCP    [::1]:5432             [::1]:53707            ESTABLISHED     6860
  TCP    [::1]:5432             [::1]:58861            ESTABLISHED     6860
  TCP    [::1]:5432             [::1]:64729            ESTABLISHED     6860
  TCP    [::1]:42050            [::]:0                 LISTENING       13204
  TCP    [::1]:49851            [::]:0                 LISTENING       10876
  TCP    [::1]:53705            [::1]:5432             ESTABLISHED     20004
  TCP    [::1]:53706            [::1]:5432             ESTABLISHED     20004
  TCP    [::1]:53707            [::1]:5432             ESTABLISHED     20004
  TCP    [::1]:58861            [::1]:5432             ESTABLISHED     20004
  TCP    [::1]:64729            [::1]:5432             ESTABLISHED     22280
  TCP    [::1]:64960            [::1]:3000             ESTABLISHED     16368
  UDP    0.0.0.0:123            *:*                                    11440
  UDP    0.0.0.0:500            *:*                                    5408
  UDP    0.0.0.0:3702           *:*                                    15100
  UDP    0.0.0.0:3702           *:*                                    15100
  UDP    0.0.0.0:4500           *:*                                    5408
  UDP    0.0.0.0:5050           *:*                                    8356
  UDP    0.0.0.0:5353           *:*                                    13348
  UDP    0.0.0.0:5353           *:*                                    23176
  UDP    0.0.0.0:5353           *:*                                    3796
  UDP    0.0.0.0:5353           *:*                                    11232
  UDP    0.0.0.0:5353           *:*                                    13348
  UDP    0.0.0.0:5353           *:*                                    11232
  UDP    0.0.0.0:5353           *:*                                    23176
  UDP    0.0.0.0:5355           *:*                                    3796
  UDP    0.0.0.0:49373          *:*                                    15100
  UDP    0.0.0.0:50001          *:*                                    19732
  UDP    0.0.0.0:63026          *:*                                    13020
  UDP    127.0.0.1:1900         *:*                                    3120
  UDP    127.0.0.1:49666        *:*                                    4416
  UDP    127.0.0.1:51747        *:*                                    2800
  UDP    127.0.0.1:64884        *:*                                    3120
  UDP    172.23.23.203:137      *:*                                    4
  UDP    172.23.23.203:138      *:*                                    4
  UDP    172.23.23.203:1900     *:*                                    3120
  UDP    172.23.23.203:64883    *:*                                    3120
  UDP    [::]:123               *:*                                    11440
  UDP    [::]:500               *:*                                    5408
  UDP    [::]:3702              *:*                                    15100
  UDP    [::]:3702              *:*                                    15100
  UDP    [::]:4500              *:*                                    5408
  UDP    [::]:5353              *:*                                    13348
  UDP    [::]:5353              *:*                                    23176
  UDP    [::]:5353              *:*                                    11232
  UDP    [::]:5353              *:*                                    3796
  UDP    [::]:5355              *:*                                    3796
  UDP    [::]:49374             *:*                                    15100
  UDP    [::]:63026             *:*                                    13020
  UDP    [::1]:1900             *:*                                    3120
  UDP    [::1]:64882            *:*                                    3120
  UDP    [fe80::972:4b6:3591:e0b1%6]:1900  *:*                                    3120
  UDP    [fe80::972:4b6:3591:e0b1%6]:64881  *:*                                    3120
